doctor_id,name,gender,location,specialties
1,Dr. Rajesh Sharma,Female,"Anantapur, Andhra Pradesh",General Medicine
2,Dr. Priya Reddy,Female,"Anantapur, Andhra Pradesh",Pediatrics
3,Dr. Anil Kumar,Female,"Anantapur, Andhra Pradesh",Dermatology
4,Dr. Sunita Singh,Female,"Anantapur, Andhra Pradesh",Cardiology
5,Dr. Suresh Gupta,Female,"Anantapur, Andhra Pradesh",Neurology
6,Dr. Meena Joshi,Female,"Anantapur, Andhra Pradesh",Orthopedics
7,Dr. Amitabh Verma,Female,"Anantapur, Andhra Pradesh",ENT
8,Dr. Kavita Mishra,Female,"Anantapur, Andhra Pradesh",Pulmonology
9,Dr. Manoj Sinha,Female,"Anantapur, Andhra Pradesh",Gastroenterology
10,Dr. Neha Pandey,Female,"Anantapur, Andhra Pradesh",Endocrinology
11,Dr. Rakesh Yadav,Female,"Anantapur, Andhra Pradesh",Psychiatry
12,Dr. Swati Jha,Female,"Anantapur, Andhra Pradesh",Ophthalmology
13,Dr. Sanjay Das,Female,"Anantapur, Andhra Pradesh",Dentistry
14,Dr. Pooja Agarwal,Female,"Anantapur, Andhra Pradesh",Gynecology
15,Dr. Ajay Kumar,Female,"Anantapur, Andhra Pradesh",Urology
16,Dr. Shalini Rao,Female,"Anantapur, Andhra Pradesh",Nephrology
17,Dr. Deepak Singh,Female,"Anantapur, Andhra Pradesh",Oncology
18,Dr. Ritu Sinha,Female,"Anantapur, Andhra Pradesh",Surgery
19,Dr. Arvind Patel,Female,"Anantapur, Andhra Pradesh",Fever
20,Dr. Sneha Chatterjee,Female,"Anantapur, Andhra Pradesh",Cough
21,Dr. Vikram Chauhan,Female,"Anantapur, Andhra Pradesh",Cold
22,Dr. Nisha Jain,Female,"Anantapur, Andhra Pradesh",Headache
23,Dr. Alok Tripathi,Female,"Anantapur, Andhra Pradesh",Stomach Pain
24,Dr. Ramesh Babu,Female,"Anantapur, Andhra Pradesh",Back Pain
25,Dr. Vandana Iyer,Female,"Anantapur, Andhra Pradesh",Diabetes
26,Dr. Gaurav Saxena,Female,"Anantapur, Andhra Pradesh",Hypertension
27,Dr. Shweta Menon,Female,"Anantapur, Andhra Pradesh",Asthma
28,Dr. Pradeep Joshi,Female,"Anantapur, Andhra Pradesh",Allergy
29,Dr. Anju Thomas,Female,"Anantapur, Andhra Pradesh",Migraine
30,Dr. Sandeep Kaur,Female,"Anantapur, Andhra Pradesh",Skin Rash
31,Dr. Manoj Pillai,Female,"Anantapur, Andhra Pradesh",Chest Pain
32,Dr. Ruchi Sinha,Female,"Anantapur, Andhra Pradesh",Joint Pain
33,Dr. Ashok Mehta,Female,"Anantapur, Andhra Pradesh",Infection
34,Dr. Jyoti Rani,Female,"Anantapur, Andhra Pradesh",Weakness
35,Dr. Kiran Desai,Female,"Chittoor, Andhra Pradesh",General Medicine
36,Dr. Pankaj Dubey,Female,"Chittoor, Andhra Pradesh",Pediatrics
37,Dr. Smita Kulkarni,Female,"Chittoor, Andhra Pradesh",Dermatology
38,Dr. Abhishek Singh,Female,"Chittoor, Andhra Pradesh",Cardiology
39,Dr. Radhika Nair,Female,"Chittoor, Andhra Pradesh",Neurology
40,Dr. Mohan Rao,Female,"Chittoor, Andhra Pradesh",Orthopedics
41,Dr. Preeti Sharma,Female,"Chittoor, Andhra Pradesh",ENT
42,Dr. Yogesh Patil,Female,"Chittoor, Andhra Pradesh",Pulmonology
43,Dr. Anil Sahu,Female,"Chittoor, Andhra Pradesh",Gastroenterology
44,Dr. Suman Mishra,Female,"Chittoor, Andhra Pradesh",Endocrinology
45,Dr. Rakesh Kumar,Female,"Chittoor, Andhra Pradesh",Psychiatry
46,Dr. Nidhi Verma,Female,"Chittoor, Andhra Pradesh",Ophthalmology
47,Dr. Amit Sinha,Female,"Chittoor, Andhra Pradesh",Dentistry
